HYBRIDIZATION R	TCGA-AA-3841-01	TCGA-AA-3866-01	TCGA-AA-3870-01	TCGA-AA-3939-01	TCGA-AA-3941-01	TCGA-AA-3968-01	TCGA-AA-3970-01	TCGA-AA-3977-01	TCGA-AA-3979-01	TCGA-AA-3980-01
ATF4|468	2181	5294	4313	6355	8527	5306	6901	3548	11418	5705
ATF5|22809	325	617	859	465	186	384	390	376	354	615
ATF6B|1388	1124	2491	1434	1349	1115	2561	1983	606	2151	2072
ATF6|22926	302	1665	1055	1016	1012	1645	1203	556	1204	1485
ATF7IP2|80063	11	242	57	172	14	290	214	170	80	29
ATF7IP|55729	192	635	579	317	360	847	428	195	533	590
ATF7|11016	378	739	1065	693	1055	991	686	374	617	876
ATG10|83734	58	239	157	141	212	137	129	109	92	242
ATG12|9140	71	390	479	590	680	547	541	472	866	767
ATG16L1|55054	552	751	1253	872	1283	1110	849	630	1425	1016
ATG16L2|89849	228	258	167	102	153	385	474	129	125	449
ATG2A|23130	1102	834	1090	279	569	723	993	365	917	754
ATG2B|55102	87	415	352	297	756	594	355	144	216	347
ATG3|64422	428	2204	1053	983	1244	1024	1667	1832	3077	1279
ATG4A|115201	83	229	289	512	227	180	230	234	191	158
ATG4B|23192	1414	1230	1384	754	1067	1739	1074	482	1685	1533
ATG4C|84938	14	162	87	171	170	144	198	165	196	232
ATG4D|84971	422	539	685	378	582	527	585	363	961	799
ATG5|9474	161	1406	526	1196	938	1509	1067	654	2057	1848
ATG7|10533	430	1244	657	542	1113	808	792	572	628	938
ATG9A|79065	1326	1247	1876	514	1087	1518	1181	588	1688	1533
ATG9B|285973	240	68	333	129	416	150	48	78	138	45
ATHL1|80162	750	414	1064	1130	4267	693	637	893	2550	1032
ATIC|471	1394	4256	2263	1756	3430	2771	2929	1385	4081	3470
ATL1|51062	45	298	118	127	80	143	242	60	31	197
ATL2|64225	250	1173	1232	1312	1812	1391	1290	681	2339	1548
ATL3|25923	126	911	600	269	519	299	388	384	416	531
ATMIN|23300	202	1262	903	839	1226	1277	841	590	1257	1060
ATM|472	100	627	256	333	294	681	693	292	407	735
ATN1|1822	2147	2316	3727	1632	1504	2778	1139	1017	1151	1997
ATOH1|474	77	28	25	70	77	36	114	105	7	159
ATOH7|220202	1	6	2	0	0	8	7	0	4	5
ATOH8|84913	43	31	75	43	79	27	168	12	13	66
ATOX1|475	512	901	826	752	697	421	683	289	899	544
ATP10A|57194	45	145	230	73	28	143	59	38	39	55
ATP10B|23120	1655	9534	734	2465	4438	3119	4165	3928	3116	3787
ATP10D|57205	52	393	142	230	64	240	204	94	27	77
ATP11A|23250	3437	1115	2473	819	1920	1864	1181	319	883	931
ATP11B|23200	264	2334	1225	1395	1955	1232	1653	1055	2655	1787
ATP11C|286410	79	469	262	445	166	619	294	118	316	482
ATP12A|479	1	62	0	0	0	2	1	0	0	2
ATP13A1|57130	2097	1274	2033	1293	1002	2236	1687	941	1815	2668
ATP13A2|23400	2571	1393	2658	1278	1952	1055	1948	924	1930	1929
ATP13A3|79572	309	4048	1079	1681	2503	3805	2172	1991	5093	2651
ATP13A4|84239	2	3	9	15	4	15	64	5	4	30
ATP13A5|344905	0	0	0	0	0	1	5	0	0	0
ATP1A1|476	15840	30928	22558	14968	37360	19884	21046	13227	24198	15582
ATP1A2|477	10	39	32	6	19	18	16	7	3	18
ATP1A3|478	18	39	77	15	3	39	31	35	16	8
ATP1A4|480	5	3	6	5	4	9	6	1	3	2
ATP1B1|481	2050	12140	5392	25001	18173	6415	5245	6489	25724	3588
ATP1B2|482	7	15	31	14	16	30	21	13	8	26
ATP1B3|483	1676	8372	4523	3594	3329	4137	4291	3124	9964	5533
ATP1B4|23439	6	9	32	12	21	18	17	14	26	15
ATP2A1|487	19	23	9	12	66	24	13	17	23	25
ATP2A2|488	4679	8307	7901	6912	5394	7654	5134	2670	5781	5135
ATP2A3|489	3248	942	3438	2378	1485	1242	2183	1326	331	1081
ATP2B1|490	161	1383	613	1344	1313	1079	1053	904	1122	1298
ATP2B2|491	1	4	14	0	5	1	1	0	3	1
ATP2B3|492	0	0	3	0	0	0	1	0	0	0
ATP2B4|493	264	1616	2766	677	532	930	519	374	345	1186
ATP2C1|27032	656	3786	2606	1829	2075	2629	2221	1833	3472	2502
ATP2C2|9914	1652	1239	1377	1377	2549	1940	1581	692	1269	848
ATP4A|495	0	1	3	1	1	0	4	1	0	1
ATP4B|496	1	0	0	0	0	0	0	0	0	0
ATP5A1|498	4169	10060	6576	6832	8540	6619	5962	8516	9555	8907
ATP5B|506	11569	21315	18732	28561	23658	15422	14631	14671	30111	19504
ATP5C1|509	1622	5303	3788	8448	7762	4465	5350	4208	5480	6751
ATP5D|513	2163	2062	2641	2664	1685	2042	2516	1876	5152	4260
ATP5EP2|432369	66	150	116	189	189	148	141	35	185	128
ATP5E|514	2626	5182	3927	6903	7552	5277	5937	1772	7583	4954
ATP5F1|515	1272	5254	3449	6965	5752	3560	5475	4007	9670	5170
ATP5G1|516	1447	2279	1288	2323	1794	1366	3351	1081	3093	2766
ATP5G2|517	1986	4952	5429	9404	7035	4376	5034	1987	6591	5191
ATP5G3|518	3145	7369	4849	8178	5929	3766	5427	4725	12551	6359
ATP5H|10476	536	3335	1846	3082	2384	2337	2998	1693	5234	3091
ATP5I|521	734	987	1908	2151	1915	782	1003	777	2567	1338
ATP5J2|9551	1280	2886	3326	6304	3773	2667	1466	2044	4550	3076
ATP5J|522	172	1943	775	4087	1646	1389	2289	1655	3966	2501
ATP5L2|267020	1	2	2	4	5	3	2	1	14	5
ATP5L|10632	1362	3295	2750	3815	2127	1881	2535	1749	5061	3739
ATP5O|539	675	3192	1963	4473	2222	1582	2283	2155	8321	4048
ATP5SL|55101	996	958	1200	920	650	1002	1022	443	1330	638
ATP5S|27109	50	239	109	149	356	156	182	66	130	149
ATP6AP1L|92270	14	27	17	6	98	46	34	33	36	43
ATP6AP1|537	4099	3684	5755	2646	4759	3807	2750	1308	2500	2621
ATP6AP2|10159	1121	4303	3482	4688	3349	4652	3030	2122	3822	3798
ATP6V0A1|535	971	1315	1508	743	766	1980	1515	557	1052	1119
ATP6V0A2|23545	171	578	700	774	492	799	741	618	1077	988
ATP6V0A4|50617	1	4	2	0	7	0	0	9	1	1
ATP6V0B|533	1386	2727	7085	4252	5014	1964	4167	1920	8769	3426
ATP6V0C|527	2869	3907	6326	2879	2830	2477	2454	1362	2963	3047
ATP6V0D1|9114	3238	2966	3508	2531	3946	2278	2029	1269	2493	2398
ATP6V0D2|245972	1	76	69	18	9	25	31	16	15	101
ATP6V0E1|8992	867	4391	4356	4021	3898	2324	3279	1617	3746	2507
ATP6V0E2|155066	588	620	1270	420	511	467	258	181	355	208
ATP6V1A|523	309	2998	1646	1519	2283	1540	1733	892	3167	1800
ATP6V1B1|525	15	2	5	8	5	2	4	6	2	4
ATP6V1B2|526	709	3115	1699	2578	3115	2340	1404	1473	1257	1572
ATP6V1C1|528	392	1649	1104	951	1262	1484	1992	483	3009	1803
ATP6V1C2|245973	126	1306	558	1047	1126	1590	1218	987	1718	1396
ATP6V1D|51382	151	895	1034	1058	1661	773	768	515	877	854
ATP6V1E1|529	600	2441	2816	2531	3000	1477	2155	1095	3434	1893
ATP6V1E2|90423	18	65	12	23	39	43	30	30	83	136
ATP6V1F|9296	1485	1470	3957	2996	2145	1459	1068	1111	1857	1996
ATP6V1G1|9550	179	1840	1160	2506	4908	2117	2382	1197	3270	3558
ATP6V1G2|534	1	4	3	6	4	13	7	3	0	2
ATP6V1G3|127124	0	1	0	0	0	0	0	0	0	0
ATP6V1H|51606	666	1214	1406	1683	1436	854	1851	555	2178	1485
ATP7A|538	84	387	395	478	307	409	322	179	331	330
ATP7B|540	823	641	506	622	550	461	353	190	611	586
ATP8A1|10396	62	179	281	595	226	443	552	297	289	918
ATP8A2|51761	1	4	7	3	1	1	2	7	3	8
ATP8B1|5205	952	3407	1363	2114	3499	4449	3358	3390	1937	2523
ATP8B2|57198	177	439	481	179	106	334	184	99	83	160
ATP8B3|148229	25	32	78	10	59	20	14	15	15	25
ATP8B4|79895	5	69	34	26	23	84	37	42	17	67
ATP8B5P|158381	2	40	12	68	54	33	54	34	48	35
ATP9A|10079	3220	7977	3274	2131	5016	7570	4550	820	3050	4979
ATP9B|374868	285	799	595	348	873	813	531	370	375	803
ATPAF1|64756	216	1479	1116	819	1402	1101	1217	685	1735	1417
ATPAF2|91647	169	288	289	376	433	255	260	256	315	258
ATPBD4|89978	62	157	80	223	319	164	252	119	233	146
ATPIF1|93974	872	1196	1181	3520	3787	2161	2656	1701	2868	2204
ATRIP|84126	174	270	297	135	115	170	199	79	119	252
ATRNL1|26033	7	26	41	8	18	12	4	15	3	3
ATRN|8455	448	740	820	614	171	2241	526	310	589	1769
ATRX|546	149	886	727	1072	733	1294	1011	479	500	1008
ATR|545	134	1055	484	466	409	677	581	301	1058	435
ATXN10|25814	628	2730	1001	1800	3038	1436	1220	1184	2194	2180
ATXN1L|342371	498	1079	787	349	701	1009	675	378	602	804
ATXN1|6310	141	521	611	298	395	995	722	264	447	496
ATXN2L|11273	2217	3902	3600	1226	3118	2821	1960	1024	2154	2861
ATXN2|6311	584	530	927	609	684	876	591	391	731	738
ATXN3L|92552	0	0	0	0	0	0	0	1	0	0
ATXN3|4287	52	487	257	327	566	440	423	233	269	442
ATXN7L1|222255	67	154	304	108	200	184	112	74	173	148
ATXN7L2|127002	81	65	100	73	59	130	162	23	146	113
ATXN7L3B|552889	785	2254	1747	2729	2279	2653	2064	1022	1932	1933
ATXN7L3|56970	1269	1713	1808	1119	739	1649	1731	675	1309	1344
ATXN7|6314	137	528	406	263	407	537	514	315	240	555
ATXN8OS|6315	0	1	2	0	1	0	0	1	0	0
AUH|549	71	348	319	365	420	467	341	189	433	666
AUP1|550	1899	4747	3937	2642	3087	3850	4141	2184	6810	3977
AURKAIP1|54998	820	1935	1167	2230	2742	1475	2179	1621	3773	2143
AURKAPS1|6791	4	12	4	5	11	10	20	11	15	4
AURKA|6790	390	1947	522	803	1500	2226	1778	764	2494	1330
AURKB|9212	614	660	568	652	819	1735	434	615	647	806
AURKC|6795	4	3	3	4	2	4	8	8	0	5
AUTS2|26053	759	1209	1415	641	1278	2349	463	598	1246	1426
AVEN|57099	81	472	264	338	486	285	248	181	173	239
AVIL|10677	53	38	40	76	46	91	121	22	55	25
AVL9|23080	628	751	494	503	631	711	656	288	619	587
AVPI1|60370	454	604	696	515	505	519	598	203	594	400
AVPR1A|552	3	21	11	6	1	4	2	3	4	2
AVPR1B|553	0	0	2	0	0	0	0	0	0	0
AVPR2|554	3	18	23	4	4	4	3	1	0	1
AVP|551	0	0	0	0	0	0	0	0	0	0
AWAT1|158833	0	0	0	0	0	0	0	0	0	0
AWAT2|158835	0	1	1	0	0	0	0	0	0	0
AXIN1|8312	1786	2674	1885	869	1529	1403	1194	565	775	1488
AXIN2|8313	1797	4650	3968	2947	2358	6473	7469	1429	3751	5906
AXL|558	442	968	2519	278	253	935	434	359	252	650
AZGP1|563	1973	317	2233	3157	4200	2043	366	277	713	155
AZI1|22994	236	346	368	92	232	474	319	119	320	329
AZI2|64343	123	722	318	506	637	724	750	359	468	636
AZIN1|51582	690	5279	4977	5272	5339	4792	6428	2200	11365	7985
AZU1|566	2	1	0	0	1	0	3	0	1	0
B2M|567	14660	102552	47706	76302	86993	49958	63296	42422	63427	71304
B3GALNT1|8706	14	90	66	154	15	64	55	61	31	137
B3GALNT2|148789	224	848	913	904	698	458	682	470	1100	953
B3GALT1|8708	0	6	1	5	10	8	25	50	1	19
B3GALT2|8707	3	5	5	34	11	10	32	0	8	12
B3GALT4|8705	193	244	294	119	248	127	232	102	224	228
B3GALT5|10317	70	9	80	121	205	173	170	70	127	44
B3GALT6|126792	321	588	405	283	528	538	596	206	731	620
B3GALTL|145173	112	361	258	385	389	304	240	147	234	174
B3GAT1|27087	6	7	19	6	1	5	5	14	7	12
B3GAT2|135152	15	35	32	66	40	87	44	24	57	58
B3GAT3|26229	641	775	627	412	733	780	706	248	783	619
B3GNT1|11041	331	602	607	208	331	576	457	245	506	635
B3GNT2|10678	150	776	705	873	877	714	580	664	990	1071
B3GNT3|10331	3192	3645	2990	2520	2212	4562	2534	1123	2585	1880
B3GNT4|79369	7	3	14	13	13	35	18	27	7	56
B3GNT5|84002	95	1509	569	1102	1310	1201	735	566	1028	931
B3GNT6|192134	188	38	90	76	55	138	279	140	37	78
B3GNT7|93010	1331	455	2739	240	478	1231	3314	340	461	1058
B3GNT8|374907	484	407	325	664	269	534	475	279	320	246
B3GNT9|84752	125	139	197	88	97	206	116	74	85	191
B3GNTL1|146712	185	155	166	223	210	185	124	55	241	117
B4GALNT1|2583	13	17	34	20	7	18	17	15	9	9
B4GALNT2|124872	4	1	240	20	22	13	135	76	4	26
B4GALNT3|283358	558	674	738	467	588	386	530	336	365	379
B4GALNT4|338707	91	5	19	131	13	262	731	360	1438	573
B4GALT1|2683	1774	4230	3689	2281	3002	4258	1919	1126	3280	2661
B4GALT2|8704	765	956	2799	554	820	780	975	699	1499	1325
B4GALT3|8703	510	1456	1357	983	838	1070	864	451	1306	1160
B4GALT4|8702	321	1032	951	508	635	700	893	375	1635	648
B4GALT5|9334	969	3643	2224	1405	2620	2983	2995	785	2330	2398
B4GALT6|9331	9	120	78	179	205	228	223	106	130	311
B4GALT7|11285	781	1171	651	645	465	528	605	375	922	520
B9D1|27077	138	106	268	277	150	245	153	72	204	147
B9D2|80776	114	86	83	196	61	131	100	47	92	67
BAALC|79870	4	14	46	8	10	10	19	5	10	5
BAAT|570	0	2	0	5	3	16	1	3	2	10
BACE1|23621	487	1119	735	291	145	660	688	309	205	704
BACE2|25825	1385	2217	2936	3411	4322	1869	2338	2287	7586	3815
BACH1|571	167	1023	747	727	525	952	720	455	1400	1393
BACH2|60468	12	26	57	7	22	23	5	5	2	16
BAD|572	292	756	649	704	526	681	1037	353	1068	803
BAG1|573	476	1535	1820	1379	1238	1452	1339	962	1802	2351
BAG2|9532	25	150	94	128	43	101	183	393	1240	1043
BAG3|9531	527	529	1958	838	1148	794	678	365	1197	688
BAG4|9530	88	199	254	215	222	174	229	115	298	151
BAG5|9529	244	1755	1104	891	1386	1190	1106	894	893	1629
BAGE2|85319	4	2	10	1	2	2	1	5	1	1
BAGE|574	3	0	3	1	0	0	2	0	0	0
BAHCC1|57597	94	261	320	117	198	656	125	79	299	386
BAHD1|22893	410	816	559	362	818	571	529	255	358	508
BAI1|575	10	8	9	3	5	10	21	10	5	2
BAI2|576	63	68	77	50	334	52	15	30	21	13
BAI3|577	0	7	2	4	0	2	3	0	2	2
BAIAP2L1|55971	1900	3627	2594	2270	4936	2644	1117	958	2658	2051
BAIAP2L2|80115	812	317	508	760	1767	830	838	275	957	380
BAIAP2|10458	891	301	1503	489	964	471	693	290	1816	729
BAIAP3|8938	110	124	297	111	213	142	285	37	94	222
BAK1|578	665	1645	1293	1259	1333	1104	1305	1006	2570	1149
BAMBI|25805	294	52	803	508	1041	98	241	138	590	452
BANF1|8815	786	3917	2476	3448	1348	3207	2714	1675	3485	3683
BANF2|140836	3	0	39	2	2	6	3	8	2	0
BANK1|55024	9	40	21	144	57	79	51	71	2	103
BANP|54971	500	365	370	193	292	260	222	140	237	345
BAP1|8314	1717	1945	1385	811	1385	1567	1736	744	953	1676
BARD1|580	92	273	133	42	94	182	104	77	113	188
BARHL1|56751	0	0	0	0	0	0	2	0	0	0
BARHL2|343472	0	0	0	0	0	0	0	0	0	0
BARX1|56033	3	1	1	1	2	0	2	75	3	1
BARX2|8538	45	11	372	67	71	57	143	14	283	73
BASE|317716	0	0	0	0	0	0	0	0	0	0
BASP1|10409	71	433	391	227	63	261	180	163	89	215
BAT1|7919	2307	5326	4621	3425	4849	6441	4254	3195	5043	4719
BAT2L1|84726	2009	2819	3259	1347	1647	3936	2173	1084	1860	4494
BAT2L2|23215	1013	3422	2487	1909	1926	3745	2173	1339	1891	2917
BAT2|7916	2456	6255	4697	1953	2793	6469	3974	2288	5112	6019
BAT3|7917	2287	5527	4075	1773	3772	5261	4036	1683	5120	4247
BAT4|7918	107	423	375	156	213	335	406	177	439	398
BAT5|7920	1600	2382	2108	1064	1101	1468	1421	872	1655	1319
BATF2|116071	302	1254	1034	326	118	629	1101	293	1600	951
BATF3|55509	6	83	38	36	12	28	43	15	62	27
BATF|10538	58	130	71	72	698	79	32	47	15	81
BAX|581	642	1183	1358	2676	915	1364	1039	622	1464	1098
BAZ1A|11177	140	1380	748	1008	1208	919	845	537	564	1138
BAZ1B|9031	816	2085	2177	1026	1535	2862	877	969	1579	2062
BAZ2A|11176	1284	1763	2087	1344	2007	1985	1598	760	1523	1585
BAZ2B|29994	80	532	246	432	854	576	500	294	303	753
BBC3|27113	244	239	366	523	338	138	284	129	390	211
BBOX1|8424	1	0	2	0	0	2	0	0	0	0
BBS10|79738	34	124	127	276	233	384	63	61	298	239
BBS12|166379	23	76	193	151	147	75	118	114	97	235
BBS1|582	312	676	708	279	208	420	480	203	506	686
BBS2|583	311	481	613	572	1012	629	647	265	788	773
BBS4|585	38	226	114	177	275	182	342	110	153	178
BBS5|129880	244	298	287	215	303	451	425	136	294	386
BBS7|55212	51	198	224	323	160	224	162	133	215	366
BBS9|27241	61	188	186	132	78	198	218	83	65	173
BBX|56987	139	1125	694	364	424	718	661	306	312	819
BCAM|4059	716	296	546	305	305	590	228	127	219	262
BCAN|63827	119	113	74	56	91	140	35	9	73	28
BCAP29|55973	97	1134	666	1183	918	1362	952	666	1695	1637
BCAP31|10134	7573	7186	12805	8493	8595	7054	5252	2903	6148	4940
BCAR1|9564	2411	2404	3221	1322	2514	1586	1560	835	2088	1401
BCAR3|8412	292	220	758	242	546	249	312	142	410	220
BCAR4|400500	1	0	0	0	0	1	0	0	0	0
BCAS1|8537	190	117	1063	638	425	705	1421	138	186	365
BCAS2|10286	48	409	285	522	574	480	568	457	815	575
BCAS3|54828	240	428	304	193	129	294	553	114	143	354
BCAS4|55653	629	1764	2713	5523	2598	1945	1210	1875	3820	3422
BCAT1|586	41	600	307	144	52	258	134	239	87	124
BCAT2|587	431	762	938	1101	1046	695	898	271	919	854
BCCIP|56647	212	1147	511	1134	1200	1268	1008	677	1783	813
BCDIN3D|144233	33	119	103	192	199	213	181	63	210	129
BCHE|590	0	12	10	10	3	7	12	14	6	7
BCKDHA|593	1527	606	1403	773	351	628	522	409	665	452
BCKDHB|594	147	565	231	734	358	1111	909	412	404	918
BCKDK|10295	1023	1549	1713	842	1328	1136	944	691	1105	1314
BCL10|8915	97	835	607	1099	1330	799	1385	579	1167	1075
BCL11A|53335	142	705	78	285	208	508	280	172	254	667
BCL11B|64919	162	423	357	133	454	434	393	133	336	318
BCL2A1|597	20	302	125	130	22	90	89	70	58	138
BCL2L10|10017	7	19	6	7	26	20	1	3	12	22
BCL2L11|10018	196	468	638	239	513	543	415	213	750	750
BCL2L12|83596	270	449	345	597	393	585	558	490	1161	976
BCL2L13|23786	348	1265	1081	810	1186	818	1079	539	1362	1362
BCL2L14|79370	261	317	175	757	748	430	170	234	478	412
BCL2L15|440603	341	1343	1065	1480	3074	727	1406	908	1305	767
BCL2L1|598	2407	3479	5497	2505	4523	3719	4269	790	3267	1729
BCL2L2|599	306	1044	902	376	813	712	614	254	901	712
BCL2|596	28	422	50	61	82	366	112	120	17	276
BCL3|602	2118	1164	1628	1308	765	996	1123	475	1351	1368
BCL6B|255877	29	157	103	60	46	165	73	31	48	97
BCL6|604	160	339	483	115	333	261	209	85	306	214
BCL7A|605	168	148	446	338	384	471	401	175	687	403
BCL7B|9275	736	1092	1955	1080	1271	921	620	535	1308	1024
BCL7C|9274	475	927	1185	1604	1118	695	878	420	1166	1132
BCL8|606	3	0	2	1	2	2	0	3	0	0
BCL9L|283149	1346	1010	2779	417	884	940	962	492	598	824
BCL9|607	244	812	566	335	348	895	434	185	516	681
BCLAF1|9774	272	3739	1602	2322	2191	3309	2707	1768	3037	3507
BCMO1|53630	62	88	75	88	136	22	69	33	225	111
BCO2|83875	5	23	43	18	24	24	35	19	27	25
BCORL1|63035	478	286	448	74	268	430	239	95	198	246
BCORL2|286554	0	0	0	3	0	0	0	9	0	0
BCOR|54880	454	1034	617	396	1492	1249	655	404	557	979
BCR|613	1529	1246	2929	931	1700	1091	1207	1086	2191	1269
BCS1L|617	438	589	472	341	531	577	734	338	926	588
BCYRN1|618	23	7	41	36	26	29	22	15	52	23
BDH1|622	1289	1253	1503	1173	1940	949	1222	1082	972	651
BDH2|56898	72	367	255	701	528	566	363	204	191	771
BDKRB1|623	27	19	110	44	48	28	34	12	42	45
BDKRB2|624	325	194	533	191	320	477	341	111	338	445
BDNFOS|497258	3	41	43	61	25	29	25	11	40	56
BDNF|627	4	8	20	20	12	23	24	16	4	24
BDP1|55814	49	603	244	504	445	593	795	419	596	737
BEAN|146227	11	16	533	19	147	5	11	8	1	8
BECN1|8678	756	1851	1027	1039	1708	1791	2387	793	1659	1485
BEGAIN|57596	19	7	40	6	41	21	28	14	9	21
BEND2|139105	12	5	21	10	3	7	2	14	6	14
BEND3|57673	139	415	173	146	226	363	250	203	316	559
BEND4|389206	0	2	5	3	3	4	4	0	1	5
BEND5|79656	3	15	25	5	3	11	2	6	1	6
BEND6|221336	5	22	11	5	1	12	6	7	6	8
BEND7|222389	88	338	330	244	122	864	434	63	46	419
BEST1|7439	28	60	67	59	81	102	50	25	122	77
BEST2|54831	36	0	22	22	15	20	146	14	16	128
BEST3|144453	1	0	0	1	0	2	27	2	0	0
BEST4|266675	27	12	89	11	60	35	21	1	12	15
BET1L|51272	1641	1641	2159	804	753	1110	1679	623	1320	1407
BET1|10282	39	375	231	560	476	828	322	408	766	855
BET3L|100128327	0	1	1	0	0	0	0	0	0	1
BEX1|55859	6	1	7	8	1	0	8	10	1	3
BEX2|84707	35	33	26	128	4	19	148	45	11	14
BEX4|56271	30	175	116	165	44	109	572	91	37	112
BEX5|340542	5	30	53	28	5	26	35	0	0	1
BEYLA|497634	0	0	1	0	0	0	0	0	0	1
BFAR|51283	517	2150	2327	1508	2453	1653	1574	824	1655	1655
BFSP1|631	14	65	133	86	309	60	112	22	37	53
BFSP2|8419	0	0	5	3	1	3	7	3	0	1
BGLAP|632	43	126	73	124	70	88	84	55	139	111
BGN|633	1964	8893	13443	2490	1124	5177	1546	1256	1002	2065
BHLHA15|168620	9	10	26	9	15	8	12	2	3	4
BHLHB9|80823	38	81	84	62	21	183	93	40	91	97
BHLHE22|27319	11	45	9	11	14	63	9	14	16	50
BHLHE23|128408	1	0	0	0	0	0	0	1	0	0
BHLHE40|8553	1446	2919	5278	4600	3377	2162	1883	1021	1856	3097
BHLHE41|79365	74	303	325	421	2075	217	163	82	174	179
BHMT2|23743	6	15	26	19	12	21	14	7	8	13
BHMT|635	1	0	28	17	0	1	8	11	0	2
BICC1|80114	32	136	123	56	19	100	74	18	5	27
BICD1|636	41	39	203	85	95	78	77	16	63	41
BICD2|23299	268	659	669	297	412	588	578	344	719	855
BID|637	1437	1397	1736	1440	1721	885	1777	750	1771	1287
BIK|638	338	276	355	618	731	267	562	591	490	1713
BIN1|274	991	1590	1229	632	1118	1388	1044	453	2126	1091
BIN2|51411	31	264	202	125	100	185	259	136	42	242
BIN3|55909	333	442	402	924	873	675	515	225	311	396
BIRC2|329	83	1064	696	909	898	832	1119	672	1241	1520
BIRC3|330	98	969	335	473	182	357	496	242	703	1453
BIRC5|332	521	1952	1336	1899	1425	2127	1755	1490	3190	1726
BIRC6|57448	741	1909	1231	950	1321	1851	1143	752	1374	1579
BIRC7|79444	27	22	28	5	2	9	9	12	3	1
BIRC8|112401	0	0	0	0	0	0	0	0	0	0
BIVM|54841	115	502	209	569	410	1074	571	126	517	625
BLCAP|10904	1136	2274	4330	1283	1571	1591	2271	585	4549	1788
BLID|414899	0	0	0	0	0	0	0	0	0	0
BLK|640	18	10	34	11	8	32	30	6	1	15
BLMH|642	359	567	505	371	499	780	806	233	792	1315
BLM|641	55	387	219	140	239	407	244	204	187	296
BLNK|29760	27	377	171	188	255	201	331	100	282	373
BLOC1S1|2647	1238	1129	1828	3070	1981	1005	1255	513	1269	1181
BLOC1S2|282991	59	477	457	819	925	495	400	321	680	292
BLOC1S3|388552	257	375	373	268	192	497	431	128	461	358
BLVRA|644	47	319	722	318	899	209	507	167	455	245
BLVRB|645	3498	1216	3083	1519	1124	539	925	465	997	520
BLZF1|8548	77	495	259	647	478	488	515	219	695	179
BMF|90427	161	336	405	204	194	430	200	78	75	170
BMI1|648	225	1254	961	1563	1814	1513	776	489	597	860
BMP10|27302	0	0	0	0	0	0	0	0	0	0
BMP15|9210	0	0	0	0	0	0	0	0	0	0
BMP1|649	646	840	1114	529	773	1113	619	353	395	435
BMP2K|55589	120	277	281	320	247	258	147	131	171	411
BMP2|650	105	861	386	498	347	361	290	267	827	518
BMP3|651	7	13	43	27	15	40	70	9	12	36
BMP4|652	783	369	5945	1510	7490	864	757	373	371	467
BMP5|653	13	12	4	34	39	43	33	4	3	36
BMP6|654	36	60	82	73	90	154	96	37	67	136
BMP7|655	1369	34	182	1254	60	386	2118	54	2460	176
BMP8A|353500	218	451	389	168	69	509	204	89	117	195
BMP8B|656	193	123	341	44	165	302	240	85	211	277
BMPER|168667	10	14	17	7	6	8	23	22	4	24
BMPR1A|657	136	899	438	692	514	831	606	388	694	692
BMPR1B|658	2	11	10	4	6	8	1	19	1	13
BMPR2|659	260	1520	1308	1048	1158	1562	1281	635	764	1614
BMS1P4|729096	42	37	42	44	54	78	89	25	40	62
BMS1P5|399761	18	44	59	80	94	108	131	62	85	110
BMS1|9790	299	1302	1182	876	1024	1349	876	347	1183	1082
BMX|660	7	12	100	14	8	19	10	12	13	12
BNC1|646	2	3	23	7	1	0	2	4	3	0
BNC2|54796	27	142	148	41	34	105	48	41	13	35
BNIP1|662	61	353	148	405	135	173	235	122	286	181
BNIP2|663	72	571	367	469	470	564	624	368	244	499
BNIP3L|665	340	1444	1257	1345	1567	1398	1515	1277	926	1081
BNIP3|664	44	140	200	91	48	128	1091	1185	124	82
BNIPL|149428	10	29	40	36	38	39	35	17	23	44
BOC|91653	60	252	376	46	71	175	65	52	46	73
BOD1L|259282	183	635	300	298	507	741	579	290	499	624
BOD1|91272	352	1135	759	1229	717	1072	1215	704	2060	1289
BOK|666	499	540	2813	208	1061	539	1336	512	898	2102
BOLA1|51027	179	296	113	164	191	156	179	116	226	304
BOLA2|552900	1905	2921	2363	2724	2832	1617	1838	1079	2892	1856
BOLA3|388962	74	574	216	606	394	481	516	529	1316	666
BOLL|66037	0	0	5	0	3	3	1	1	1	2
BOP1|23246	1524	1199	2221	776	991	906	1379	448	3497	1211
BPESC1|60467	0	0	6	0	0	0	0	1	0	0
BPGM|669	35	383	252	256	174	233	152	151	324	201
BPHL|670	161	576	258	511	496	509	382	202	551	970
BPIL1|80341	9	0	0	8	3	0	3	14	4	9
BPIL2|254240	0	0	8	1	0	0	1	1	0	0
BPIL3|128859	0	0	1	0	0	0	0	0	0	0
BPI|671	1	3	11	0	6	0	0	4	0	2
BPNT1|10380	367	1224	980	2837	1846	1015	1713	853	1684	1515
BPTF|2186	340	1136	741	578	463	1846	978	522	513	1214
BPY2|9083	0	0	0	1	0	0	0	0	0	0
BRAF|673	32	147	116	60	69	135	49	55	128	89
BRAP|8315	176	456	536	506	456	598	453	314	627	549
BRCA1|672	188	869	319	327	333	1348	766	404	646	1284
BRCA2|675	38	366	129	219	224	292	191	181	206	529
BRCC3|79184	467	1234	658	930	857	1248	840	598	1142	1219
BRD1|23774	603	902	545	452	1238	884	614	420	701	749
BRD2|6046	1346	4588	2210	1963	2458	3777	3329	2029	4306	4053
