"","TCGA.OR.A5J1","TCGA.OR.A5J2","TCGA.OR.A5J3","TCGA.OR.A5J5","TCGA.OR.A5J6","TCGA.OR.A5J7","TCGA.OR.A5J9","TCGA.OR.A5JB","TCGA.OR.A5JC","TCGA.OR.A5JD","TCGA.OR.A5JE","TCGA.OR.A5JG","TCGA.OR.A5JI","TCGA.OR.A5JK","TCGA.OR.A5JM","TCGA.OR.A5JO","TCGA.OR.A5JP","TCGA.OR.A5JQ","TCGA.OR.A5JR","TCGA.OR.A5JV","TCGA.OR.A5JW","TCGA.OR.A5JX","TCGA.OR.A5JY","TCGA.OR.A5K0","TCGA.OR.A5K1","TCGA.OR.A5K2","TCGA.OR.A5K3","TCGA.OR.A5K5","TCGA.OR.A5K6","TCGA.OR.A5K9","TCGA.OR.A5KO","TCGA.OR.A5KV","TCGA.OR.A5KW","TCGA.OR.A5KX","TCGA.OR.A5KY","TCGA.OR.A5KZ","TCGA.OR.A5L3","TCGA.OR.A5L6","TCGA.OR.A5L9","TCGA.OR.A5LA","TCGA.OR.A5LB","TCGA.OR.A5LD","TCGA.OR.A5LE","TCGA.OR.A5LG","TCGA.OR.A5LH","TCGA.OR.A5LK","TCGA.OR.A5LL","TCGA.OR.A5LM","TCGA.OR.A5LN","TCGA.OR.A5LS","TCGA.OR.A5LT","TCGA.P6.A5OG","TCGA.PK.A5H8","TCGA.PK.A5HA","TCGA.PK.A5HB"
"PASK",224,221,130,529,125,493,115,460,139,102,281,146,126,200,517,207,233,198,188,253,99,58,677,139,168,100,55,227,120,254,219,115,140,493,327,313,56,112,17,82,24,216,158,213,162,54,89,86,123,61,124,551,196,183,501
"PBK",118,352,197,610,11,3092,877,892,821,169,1124,624,42,302,4483,88,2544,617,604,267,80,16,2827,938,700,596,122,692,260,3120,3265,189,1136,264,2297,5513,15,252,10,36,131,602,1458,254,73,19,16,335,39,321,309,1392,802,121,1744
"PCGF6",398,804,169,310,274,744,625,851,286,362,292,276,217,159,997,421,753,329,193,127,331,268,322,333,126,184,79,287,350,542,326,433,177,287,506,638,131,72,22,79,605,196,260,324,205,48,270,228,152,228,211,728,181,281,975
"PDZK1P1",21,26,21,33,8,51,35,7,18,27,37,19,11,30,23,7,21,26,27,3,20,28,16,26,11,35,5,16,8,23,19,8,16,45,20,17,8,4,5,6,30,41,52,32,17,7,67,7,26,11,18,21,9,31,12
"PHTF1",717,357,119,223,526,886,815,661,311,255,482,83,144,337,973,731,499,363,499,574,249,179,811,158,296,437,155,445,293,754,470,413,585,689,512,471,305,109,17,161,582,146,1058,451,1167,33,108,242,122,178,224,1093,260,172,633
"PIF1",37,44,16,117,13,412,25,515,79,14,157,103,13,68,268,40,91,16,23,29,8,22,266,59,34,39,28,114,22,102,133,52,92,122,157,447,13,22,3,8,34,82,241,95,24,6,8,46,7,20,32,888,34,14,228
"PIGW",712,212,503,196,149,277,386,302,178,209,392,477,132,107,671,221,305,463,137,135,321,139,385,403,112,95,99,155,357,306,443,397,259,100,489,381,108,47,21,80,538,45,199,168,242,40,271,158,64,224,247,644,124,64,256
"PKMYT1",177,461,233,1628,12,2098,2422,914,719,112,1199,1613,72,330,2400,155,1870,1336,463,172,113,7,1616,656,525,1017,156,1326,248,1697,1926,193,784,676,3723,2623,5,329,17,54,107,648,1324,159,73,33,7,98,22,337,461,1186,764,212,1949
"PLK1",58,471,255,609,26,2221,314,1959,301,82,1360,1020,46,113,1487,215,1545,503,392,241,102,36,1226,380,320,251,89,1126,250,1482,2115,261,842,80,2488,2942,13,147,8,21,312,140,959,491,25,19,20,274,23,308,231,2797,243,118,2482
"POC1A",226,706,231,199,354,2204,550,487,317,222,1067,757,98,150,1328,125,529,643,366,275,238,88,1369,924,313,759,109,1127,409,705,593,327,455,1313,1537,705,169,112,20,95,221,141,916,569,612,130,213,270,50,205,191,1549,541,515,514
"POGZ",7017,6772,2283,6345,1807,4791,3322,5262,2492,1742,1820,1820,1492,3194,3119,2497,3002,1944,2201,2267,3366,2632,3690,5576,1241,1290,950,2875,3914,5278,3530,3183,1477,3891,3604,1956,2409,976,539,1177,2645,2153,3243,4386,2146,965,8501,1622,2671,1464,2509,4893,3226,4120,3719
"POLA2",315,658,356,314,323,1459,521,1089,511,383,1073,461,123,343,833,461,652,826,664,463,398,339,1340,630,460,554,210,1001,223,587,961,587,312,536,1050,850,169,269,47,265,402,241,519,854,511,150,234,291,145,221,245,2368,548,300,848
"POLE",847,2736,830,2865,890,1750,1746,3106,1578,1041,1201,1323,514,1019,1680,572,1222,1926,1813,860,989,1414,2215,1208,881,864,561,1383,452,943,1641,912,1260,1405,2120,3495,339,603,167,666,924,1254,1035,1811,1412,464,549,988,991,678,1624,3037,2330,1208,2029
"POLQ",62,209,57,240,29,429,222,507,160,66,154,86,27,70,704,31,199,272,139,106,60,9,514,52,75,254,47,300,25,218,499,40,78,574,677,644,11,56,4,12,60,224,225,35,67,38,2,75,12,199,175,580,310,93,263
"POLR2D",1089,1167,676,357,1799,2881,955,2172,860,396,3211,1322,391,479,3036,624,1765,638,692,712,900,455,2198,1019,440,719,487,2685,1074,1756,1148,1147,1002,2702,1285,1464,239,245,67,389,1011,775,1636,1567,1233,145,657,836,229,630,218,1268,862,487,1300
"POLR3C",418,1136,405,234,804,689,831,1850,431,314,607,673,161,413,935,817,591,460,461,559,499,275,774,824,321,356,159,723,608,1081,571,715,459,849,688,630,172,100,29,256,461,287,869,928,502,109,2031,297,204,195,147,1109,256,681,1010
"PRIM1",58,519,124,39,163,431,164,470,118,139,1086,511,37,83,827,190,212,311,317,258,229,50,1189,179,201,101,66,237,185,1110,392,169,280,298,254,543,11,65,6,88,170,15,154,78,243,33,51,148,38,347,124,330,175,221,532
"PRPF3",3810,1943,1023,2647,872,1818,1125,4301,900,540,1229,1659,282,906,1323,1051,1006,941,703,657,1785,1288,1379,1991,541,582,307,1386,1826,1693,1510,1094,1308,1434,1698,1338,1233,299,123,667,1886,644,2145,1983,1466,326,5094,803,454,749,783,2731,650,1319,1285
"PSEN2",2809,3277,1768,736,2830,6629,2445,1090,1253,1108,7036,4511,1012,1428,6121,745,3584,1947,1175,1269,1552,931,2385,1973,851,2883,448,5099,2337,5268,824,1886,2771,1944,2636,337,1406,307,132,757,1998,855,2627,1903,2877,473,2264,1569,889,1982,836,1361,1300,1289,2434
"PSMA1",4781,3206,2934,1710,5385,6899,5905,9026,4344,3563,5811,2803,2076,2408,5576,4207,6879,4067,3550,2640,3243,2507,5357,4020,2536,5152,1733,5918,2399,3128,3652,6084,4395,3637,5475,4325,2292,922,225,2212,4722,1518,4930,6052,5348,996,4817,3537,1256,2940,2540,8365,3136,2453,3931
"PSMB4",14691,12322,7944,7528,10279,31647,13562,35042,10640,7941,24670,11711,5727,11811,11800,9913,18089,9027,7293,7419,6286,6949,10350,13961,5524,12514,3699,20296,12321,15321,7807,16211,10113,9580,14516,7753,10366,2855,1364,8046,9392,4375,11792,16613,11004,2989,18127,10001,5946,6234,5008,15720,7134,8422,11563
"PSMC3IP",303,158,76,292,32,268,344,1261,90,124,610,236,97,75,927,95,294,394,77,27,57,42,902,216,96,167,43,418,125,254,361,514,135,203,343,770,54,108,25,40,114,215,235,146,59,28,61,67,38,75,208,738,171,44,182
"PSMC3",5935,3421,3479,3747,4234,7482,7724,10838,3321,2918,12351,3139,2100,2983,7121,5223,4585,4503,2837,1819,3522,3417,3502,5527,2466,5137,1912,6028,2820,4635,4168,6771,4294,3174,7514,4354,3876,1538,662,3103,4005,3982,5792,7653,3928,1076,4309,3838,1525,2848,2230,7991,3430,2264,3049
"PSRC1",205,195,174,538,52,1117,200,1123,401,72,374,239,48,207,484,105,372,142,122,298,64,74,289,184,151,160,125,243,171,596,505,87,216,121,850,920,29,104,8,76,110,172,425,167,70,33,12,822,39,138,112,1270,200,145,754
"PTBP2",1825,514,394,791,194,408,1004,1434,423,299,306,353,269,343,492,636,336,552,360,700,329,679,727,179,185,242,129,267,304,401,559,381,326,580,611,960,400,247,57,311,435,493,938,974,801,141,78,182,253,340,294,1801,316,346,348
"PTPN4",329,739,131,44,239,539,183,405,90,110,290,272,48,80,369,230,356,174,192,185,180,85,228,226,55,141,47,711,181,385,105,171,200,353,319,223,122,28,7,54,197,151,336,268,291,53,342,107,42,168,38,520,119,91,233
"PTTG1",123,423,362,1355,26,4579,434,6333,1723,173,3490,1568,122,796,3365,247,1952,707,435,381,159,195,1527,1285,559,652,320,1733,464,2579,2890,301,991,507,3886,2830,41,833,55,169,402,1079,1542,996,116,230,18,1184,194,710,871,4800,576,970,2946
"PVRL1",1107,1261,2566,2653,163,3611,2971,5271,593,161,840,3659,263,382,2274,556,727,312,333,146,1088,1023,3763,887,189,330,87,1589,468,4223,745,1343,2501,687,2256,185,112,50,31,155,693,128,1330,375,782,110,224,807,67,2171,220,1176,152,226,2563
"QSER1",988,1906,599,500,362,879,1325,2605,359,423,558,443,246,328,1409,1026,621,735,661,660,602,324,1309,1211,282,433,127,497,617,849,864,550,478,858,741,1064,297,163,48,175,783,530,684,812,529,196,776,238,228,466,359,3196,409,417,1277
"QSOX2",944,2248,1791,1610,837,3867,3359,2965,710,588,2417,2606,321,455,2195,449,2023,1376,560,1262,2834,695,4612,1172,537,1682,416,5625,1405,4268,1860,1415,1705,5396,3241,4564,385,281,45,330,2385,875,4052,1587,1690,118,1019,631,322,1949,666,2004,834,638,2778
"RACGAP1",314,1501,460,933,165,3560,1223,2514,878,342,1722,1919,203,305,4157,345,1887,846,781,887,488,109,4067,898,597,651,214,1891,378,3279,1674,266,1059,948,3720,4060,50,289,43,210,487,322,1411,499,252,116,87,653,120,751,554,1878,720,694,5162
"RAD51AP1",61,359,83,228,31,1213,549,847,269,74,250,429,70,63,1293,85,785,375,304,116,79,30,1040,209,183,160,62,193,79,518,529,116,251,165,930,1322,7,151,6,49,141,53,285,45,50,39,17,155,41,137,256,509,483,117,334
"RAD51",48,145,28,86,15,697,113,647,194,14,343,248,12,43,693,90,133,168,114,56,46,6,687,190,72,201,18,209,70,122,372,92,174,237,424,639,16,31,3,6,63,29,329,92,32,7,6,39,11,51,54,519,141,34,698
"RAD54L",64,79,87,287,23,604,151,1381,243,13,196,262,12,70,263,57,222,148,75,52,35,29,290,112,103,130,33,105,35,315,348,46,150,196,558,1022,5,75,5,6,31,146,269,46,35,13,1,50,9,59,69,721,247,37,521
"RBM14",2016,2188,1316,1820,1410,2610,3216,3711,1587,1108,2325,1854,722,1227,2202,1709,1968,2136,1855,1496,1909,1890,2064,2288,1090,1138,535,2029,1635,2427,2298,2047,1329,2292,2847,2042,637,396,114,827,1749,956,1620,2635,1762,494,1749,1197,887,1129,1088,2559,1059,1777,1744
"RECQL4",563,234,159,1650,44,931,1507,3807,616,297,635,563,112,268,1879,188,2171,745,454,169,133,264,1013,481,258,534,82,808,258,1430,959,2345,441,954,1574,1842,107,270,49,124,223,1320,701,283,67,98,61,154,81,129,268,3335,885,177,535
"REXO2",2543,2459,1675,940,3385,5302,1666,2756,2130,1460,2142,1718,857,1259,4348,2793,2806,2195,1523,1955,2051,1188,3003,1577,1179,2275,1024,4433,878,1999,1879,2012,2414,1815,3471,2305,697,520,66,859,3200,559,2571,1969,4422,330,1715,2483,490,1670,659,6375,995,1481,1699
"RFX5",1876,2828,649,885,758,5577,1992,3472,805,866,1514,1008,399,1696,3187,1119,2466,1478,1124,2122,1040,713,2874,5075,739,810,553,1867,2131,3496,1158,2017,567,996,1475,1078,1060,382,81,350,1277,708,3763,2035,1268,372,3736,585,491,1397,713,2202,763,845,1279
"RHEBL1",9,66,16,46,14,206,44,289,74,13,129,107,23,78,99,34,56,50,12,61,54,9,211,162,15,15,11,140,73,131,42,78,24,76,148,137,11,20,7,16,79,11,37,89,39,12,14,93,14,25,40,105,19,11,69
"RIBC2",4,3,5,76,1,71,25,284,37,14,110,62,7,15,115,6,61,111,11,12,11,4,43,2,31,46,8,27,8,64,136,11,18,10,108,62,3,33,2,2,28,1,45,20,8,2,3,6,3,44,8,112,17,19,53
"RNF115",547,1434,432,384,595,1823,1338,1242,557,331,534,549,250,387,1002,584,856,531,598,892,794,237,975,578,189,438,188,1093,428,845,811,622,505,552,801,631,149,104,22,262,866,219,793,864,713,90,2720,319,227,418,385,1241,337,476,1208
"RNF144A",3329,8244,3737,5989,430,6204,3841,3515,1317,730,2618,2829,1088,781,3578,6622,2874,3707,1990,1830,3468,1189,4224,4528,1678,1932,1276,758,3217,3936,3596,1951,1219,2379,4262,5768,1552,568,131,1086,3761,2094,2323,2296,2354,897,3402,1732,590,1657,610,1439,2938,2447,3336
"RPL23AP7",220,223,56,58,125,271,168,191,149,61,296,226,42,46,419,158,451,129,134,128,94,76,346,145,58,117,25,124,203,216,61,125,137,192,173,165,71,53,9,32,67,26,141,131,234,55,63,199,25,52,45,343,94,60,73
"RPS6KA4",1814,1880,1292,820,612,3824,1769,3086,994,741,1726,753,441,998,2217,1559,2529,937,1446,1936,1291,1251,2798,1073,789,991,822,1516,777,1430,1231,1852,1117,928,1915,1194,362,319,156,789,1278,832,1760,2435,1624,520,893,923,353,719,393,3992,1292,1604,1735
"RRM1",1921,4365,2967,1078,3329,4702,2335,5067,1596,1297,3814,2818,680,959,7595,1878,2863,2359,2307,1760,2227,393,3230,3910,1236,1832,683,3190,2176,3078,4234,2423,3920,1618,4726,4282,666,496,29,453,1678,760,3394,2406,2810,304,2752,1336,408,1616,1137,7274,1390,1772,6369
"RRM2",67,408,404,582,41,5435,323,8446,438,140,4285,862,91,111,6692,406,2797,648,635,285,184,20,5085,780,604,791,205,1083,632,4349,1626,419,839,86,2416,4743,24,322,10,30,473,259,3011,406,36,33,12,288,58,462,453,4331,535,221,3317
"RTCD1",1379,1773,1024,499,2086,2927,1551,2642,998,805,1137,2045,565,628,2234,1321,1473,1382,1201,1379,1371,595,2954,603,664,1497,596,1416,881,1486,1233,2443,1637,1302,2091,1257,1020,203,69,489,1796,332,2367,792,2129,304,430,1226,452,1196,504,2420,1334,986,3419
"RTKN2",5,38,10,62,2,68,109,185,74,22,4,37,21,22,510,22,65,43,19,20,10,5,273,73,10,6,18,9,62,57,89,16,27,84,249,176,1,12,3,15,45,7,105,45,7,19,3,30,6,76,73,201,13,21,82
"SCAP",12189,21710,8844,6900,17672,35376,10771,2635,6149,5596,40317,23946,2227,4802,21209,4439,18628,7235,7483,4957,10493,4966,16595,16483,2009,18257,2629,20795,13932,29081,6407,19641,10415,17268,27048,8729,9038,1425,543,2532,11654,8123,14534,12106,14386,1619,5538,5315,2083,7190,3487,3633,5091,4705,19820
"SDCCAG3",1193,1085,1036,1436,810,2055,1443,2451,576,1122,1477,2371,435,509,1114,1152,1604,1462,641,900,1939,765,1216,1469,435,791,273,1533,1166,1926,1122,1112,961,1784,1654,1228,496,297,78,398,2233,264,1219,1901,1009,195,1186,477,483,1220,755,3327,671,1213,1481
"SEC61B",6464,3632,3792,7231,3286,9012,7355,6929,3757,3107,5658,9288,2677,3014,3886,3620,7212,4643,2253,2369,5466,4408,3698,7400,2027,5111,1591,5217,5102,7821,6026,4979,2984,4507,10694,3885,3004,1329,433,2869,6891,2906,4329,7016,4070,1362,2881,3851,1888,4019,2714,3820,2657,2948,5524
"SEMA7A",1076,4430,205,2478,5614,2124,565,217,2475,44,9356,1497,28,1774,1281,1373,3171,114,266,1982,362,132,14461,624,1099,3448,493,3043,424,1485,812,8164,1420,4120,3813,3236,120,114,333,464,3950,1784,6800,605,3857,257,270,1114,41,621,7,1755,279,170,3653
"SEPT11",2031,4329,1399,714,717,4221,2449,3931,2066,806,3232,1036,1169,2163,5800,910,3214,3207,1790,3230,1319,1547,7322,3863,1107,1134,509,2863,1745,7919,1387,900,2271,989,3533,1076,358,277,80,755,2645,348,2797,797,1343,420,453,2926,239,1660,748,6983,718,1440,3205
"SERPINI1",254,237,101,112,1397,259,906,168,728,702,83,463,1202,794,111,322,600,1831,1969,1122,146,176,839,56,995,123,204,293,225,181,103,1355,502,1384,233,120,34,180,211,694,217,15,66,45,653,946,255,1325,681,174,576,104,1665,504,1213
"SETD8",1404,4161,1524,2289,660,2338,2347,2293,1122,996,1525,2128,539,986,1877,829,2350,1923,1383,910,1640,1335,2129,1026,1020,1448,583,2826,1029,1037,1179,963,1564,1250,3470,1790,311,428,111,440,1437,997,1576,2419,924,478,493,1153,606,861,1117,2436,1422,758,1351
"SF3B4",4908,4986,2259,2679,2012,9203,3634,18417,2339,1113,3040,2402,1323,2907,5245,3068,4360,2495,1642,1731,1979,2733,3777,4030,1507,2192,749,4920,3615,5707,2195,5136,1548,4534,3886,2516,1995,798,336,1476,1768,3713,3396,4785,2049,662,4465,2487,1452,1149,1018,5029,1825,2911,3245
"SF4",3959,1392,1955,2604,2055,5667,4592,1162,3756,1084,3980,3487,642,2672,3527,1339,3004,1685,1200,995,3302,2395,1884,4305,708,2230,1414,4035,2964,3951,1862,2603,2203,2364,5805,2437,1541,435,88,646,3781,5616,2543,2464,1222,471,966,2169,786,1440,821,1430,2802,1353,1498
"SFPQ",8918,7648,4408,4017,4502,9007,11257,16837,5125,3297,5496,8624,2963,4026,11347,5242,10024,7829,4798,5123,7369,4037,6155,4620,3730,4577,1723,7060,5070,8790,7679,9115,4862,7016,11216,10785,1463,1597,346,2304,7555,3453,9389,6386,5295,1781,6045,5155,2785,4270,2627,9108,3388,4952,11807
"SGOL1",25,105,9,31,4,355,75,195,58,7,102,103,6,8,444,26,119,114,51,36,15,5,259,87,47,109,12,87,15,123,238,21,49,163,355,295,3,13,2,8,24,31,226,50,19,4,2,25,6,30,36,291,92,7,202
"SH3BP5",23990,41378,12582,5103,10134,23538,20673,1318,11748,8501,10970,22271,3539,6555,20717,9131,8087,10092,6828,7842,9231,9008,18561,17431,3035,8183,4284,16819,11264,19010,7434,22068,13014,3181,18301,12153,4330,1291,209,2243,18835,2714,18427,9115,15083,1970,17094,21861,4330,12239,4995,2302,7306,5138,19246
"SKA2",2286,1753,893,1280,610,3556,2145,3269,1281,816,2791,1225,1037,744,3044,903,2797,2387,790,1228,865,963,2757,1891,745,1406,662,1661,807,1442,2330,720,1590,1324,1828,1837,421,532,154,513,1017,1079,1235,851,893,245,1237,1614,639,798,1049,1907,1220,402,2017
"SKA3",82,133,63,269,14,412,115,473,155,43,146,350,15,43,928,65,215,169,105,64,32,13,297,97,98,125,41,75,130,385,697,96,252,318,658,497,3,49,10,22,73,116,260,120,50,11,8,122,30,25,128,862,188,53,473
"SLC22A3",2749,3402,538,2501,17,1358,1212,208,851,658,3730,73,152,703,4309,887,1355,1121,938,874,2883,1441,1834,616,453,1415,340,2142,404,4029,1354,1319,291,456,758,3417,411,480,2,235,1184,702,2732,770,1234,195,2880,84,653,1280,112,67,38,193,941
"SLC30A1",334,4064,521,125,841,1935,981,775,431,455,2793,2323,181,83,2869,178,1630,385,587,667,1134,68,2870,516,160,444,82,1835,1645,2692,768,1146,557,1120,875,456,201,104,11,94,740,181,1213,799,489,68,646,204,110,1335,112,227,180,589,1118
"SLC7A11",43,756,137,170,20,851,111,967,15,399,265,238,23,40,264,101,99,114,94,6,10,34,620,9,12,60,49,376,299,870,136,109,162,5,307,226,11,31,2,4,457,5,884,6,821,32,747,69,23,17,25,147,34,64,541
"SMAD2",5002,12873,4821,1517,2202,8039,4705,4213,1168,1953,4928,3791,1573,1562,7251,3007,3543,3594,3018,3130,3777,867,8786,6149,1362,1626,866,5695,7512,12437,3785,5115,2875,3087,4526,3157,2363,560,184,1287,4004,1670,4695,2243,4392,787,4273,1919,1269,3388,1411,3035,2299,2956,6060
"SNHG1",1023,2115,523,1200,681,3700,1116,2341,786,645,1075,646,143,893,1083,1056,1267,343,398,540,544,1455,881,873,241,887,347,1841,426,1442,1088,1499,569,2309,1855,1670,424,297,61,233,1128,675,1538,2236,338,185,636,366,326,425,633,3782,791,1075,996
"SNRPA",3902,1852,2006,3798,1783,4043,3939,6452,3115,1781,2277,4095,1769,1854,2613,2257,3823,2434,2005,1392,1720,3462,2035,1883,1559,1881,1027,2551,2250,3443,2605,3222,1793,2331,4806,4011,1120,1182,616,1857,1913,2349,1885,3163,1993,1016,881,2236,1171,1144,1342,5136,2710,2205,4028
"SNRPG",2729,1049,1227,1772,1588,3042,1784,4710,1318,952,3068,1854,981,1367,2885,1201,2655,1405,961,903,1410,1406,1956,1630,811,1382,554,2086,2966,2882,1735,2257,1471,2701,2610,1853,1190,686,149,1156,1909,695,1681,2196,1985,364,657,2197,779,636,585,2916,1066,520,2419
"SPAG5",289,710,678,1084,87,4256,686,1601,743,228,1358,1186,167,367,3925,252,1291,1319,522,579,440,277,3031,1612,462,614,224,1290,513,1831,1432,501,816,1346,6003,3008,35,409,20,69,344,510,1200,924,530,105,117,796,123,409,884,1734,738,406,2189
"SPC24",4,45,9,33,2,254,15,61,23,9,94,68,4,1,280,8,110,29,28,9,9,1,126,42,9,30,3,84,2,260,117,13,14,11,96,222,2,9,3,2,9,7,38,13,2,13,1,6,2,26,35,137,12,13,208
"SPC25",22,101,31,84,4,993,107,812,170,7,502,283,10,57,867,66,226,84,48,23,19,9,496,218,75,179,36,401,82,738,321,42,123,146,631,682,12,69,7,8,61,198,187,251,31,4,8,60,1,57,50,398,64,10,593
"STIL",246,199,227,310,45,1297,380,1482,177,71,336,383,83,89,664,107,322,162,147,106,132,88,352,161,96,198,48,128,85,461,491,181,189,202,1045,490,9,48,9,16,209,88,376,75,147,23,15,138,26,187,94,357,233,45,1014
"STMN1",3107,5896,1502,7924,2069,16658,5830,19777,5203,1433,8171,3646,1535,1849,12179,3758,11103,4116,1750,2387,1193,1490,6162,2985,2080,3739,1480,4817,1992,6170,11407,5162,2399,5464,16660,18670,276,1144,169,954,3397,2772,9494,4104,1487,893,308,2332,701,3325,2940,18910,2953,3257,14237
"SULF2",4609,34200,6355,14045,1193,4738,35503,16482,10320,1175,11148,11762,2171,6382,2261,3722,4641,2257,2614,2175,6205,9099,11699,738,3233,7851,2621,7337,5050,14898,6824,1807,10868,10380,28202,10322,499,537,212,1340,24148,5943,8042,2882,1771,537,867,8077,454,7674,688,6857,928,1982,6864
"SUV39H2",192,393,173,153,170,1075,494,627,262,163,259,180,102,213,750,240,546,257,199,170,308,182,835,321,101,274,44,362,250,561,668,367,147,323,464,656,54,45,14,68,285,159,264,279,218,31,164,123,52,212,150,792,197,158,471
"TACC3",598,928,565,3118,359,4899,1868,3752,1254,399,2622,1443,282,730,4466,976,4094,1157,754,631,650,191,1962,1565,544,1202,664,962,907,2449,4930,473,2227,1217,4884,2204,192,413,40,300,1484,907,2419,1204,994,207,177,1624,238,759,1317,4448,527,427,4305
"TIMELESS",186,2501,1008,1274,670,3378,1781,1649,1302,988,1518,1997,382,665,4073,659,1686,2452,1698,1777,924,444,5997,1142,1048,674,435,2671,717,6976,1894,411,1548,1321,2594,3769,118,502,41,395,659,327,999,1016,1624,265,538,791,484,888,1098,3725,1674,998,3982
"TIMM8B",2838,1163,1022,1733,2808,6176,1323,1804,1741,1311,4053,1414,1030,946,2545,1245,2040,1678,1075,686,1730,1156,1914,1063,685,2588,632,4570,1290,2006,1445,3347,1318,2193,2921,1698,1727,678,181,1137,1410,2392,2441,3400,1619,437,1418,1555,770,775,874,3240,1362,577,1023
"TK1",217,282,276,1078,43,3071,550,7607,678,341,1758,827,209,210,3889,506,2559,2029,458,230,111,47,2350,754,466,697,185,1740,240,1219,1169,349,533,391,2420,3305,29,460,53,112,107,1060,326,288,78,133,16,136,98,231,883,5729,742,388,896
"TMEM110",759,1001,268,114,257,504,379,332,425,240,832,287,198,202,660,211,290,675,429,376,245,278,335,182,110,542,144,1056,149,411,165,273,399,227,386,511,173,81,19,131,185,654,546,393,352,145,180,275,62,178,174,392,207,381,237
"TMEM194A",640,2140,698,1082,271,3276,2252,1360,1012,837,1117,1380,399,808,4167,527,1188,1156,954,976,929,459,6342,940,612,937,295,1222,1020,7581,1305,869,809,1658,3529,2842,263,608,61,277,1263,655,1602,2287,623,229,640,608,362,706,863,1100,960,577,2504
"TMEM198",1000,148,423,274,528,924,987,237,331,111,1054,1243,109,375,501,430,749,180,289,403,266,267,565,168,172,763,178,808,190,830,204,983,419,400,1054,727,172,121,17,106,189,214,643,760,1495,57,217,259,57,101,75,80,359,123,534
"TMEM201",513,511,410,521,356,837,696,2821,468,485,679,659,157,581,1123,654,629,473,595,218,318,557,1072,1850,507,548,299,618,291,958,512,701,718,589,1359,1134,183,143,91,312,420,637,1021,472,987,158,133,310,174,300,392,1228,390,278,1247
"TMEM81",217,125,66,118,96,186,129,237,79,42,197,122,41,202,146,137,120,84,33,53,88,102,175,70,33,110,44,243,116,169,96,54,99,88,139,56,124,18,16,82,83,45,205,175,152,31,141,98,45,119,34,151,63,94,269
"TMPRSS9",367,241,55,781,294,1161,637,4,913,31,1320,1084,3,550,426,24,654,42,107,365,255,149,152,95,226,703,424,531,89,835,324,683,552,548,1105,299,33,85,63,101,537,230,375,70,601,8,3,294,10,355,3,9,678,21,433
"TMSB15B",107,60,73,143,99,204,43,6,213,39,261,3,20,42,124,38,6,59,46,88,35,78,94,125,54,87,37,69,1,57,205,19,86,22,49,148,1,33,4,23,138,3,56,44,200,61,20,43,12,49,100,185,96,36,3
"TMX2",4151,5323,2388,1453,3986,5558,4196,6828,1777,2895,6651,3608,1189,1333,6939,2883,7473,4087,3103,2788,3943,2132,6260,6260,1698,2585,1276,5313,3706,2912,2347,5595,3212,3871,4644,2968,2072,478,175,2825,4589,878,5849,4237,5713,649,7071,2119,780,3457,1552,6179,1411,1759,3456
"TOMM5",2822,1393,1365,3285,2097,3663,1063,5638,1832,2484,4549,6953,1028,1067,2143,1962,2221,2657,1127,1183,2531,1668,3551,1068,925,1606,802,2871,1338,3025,3672,2303,1562,2345,6656,2378,913,605,171,1060,1422,945,3616,3379,2236,727,1877,1605,1056,1376,1339,3555,1514,1207,4685
"TOP2A",323,1734,646,2255,56,3373,1405,12111,1480,225,2311,2781,213,640,11005,560,1452,2117,1099,1020,265,88,4907,2755,1120,674,267,1623,967,5756,6667,467,1614,482,4252,12331,64,790,31,94,746,856,1844,785,86,119,77,920,137,741,2537,4025,1087,342,8290
"TPX2",420,2538,351,1040,113,4571,1600,6753,1433,262,2832,2622,335,1023,7555,395,2981,1556,1365,1779,1573,156,3329,1443,1223,929,479,1772,837,4419,3361,484,1030,1765,5928,10542,153,882,58,164,947,910,2723,1221,317,225,452,1376,157,723,1123,4679,1376,594,8708
"TRAF5",649,1014,179,220,181,1018,346,1041,164,141,413,55,179,468,675,560,491,249,134,174,270,284,624,159,137,328,42,551,242,610,281,393,79,814,134,555,395,134,42,144,138,514,335,470,241,94,396,132,153,400,107,1659,119,382,122
"TROAP",100,386,140,1377,10,2704,264,2328,475,47,932,903,27,184,1591,106,1030,263,232,140,46,20,2158,523,238,324,112,760,181,1896,756,65,374,441,2875,2853,5,340,25,38,204,861,680,347,30,24,7,271,41,237,479,1315,522,83,1640
"TUBA1B",23720,65142,39889,39808,24986,72308,43211,64107,36023,22000,42990,32764,13271,35835,59792,39835,51418,55780,48733,41246,23751,32361,63697,31421,28809,18955,15120,30885,21667,73960,48312,22078,45896,33484,85306,53096,4790,11745,2169,23275,17114,11103,21582,49943,56734,9177,9026,25842,8358,15609,21034,77713,22951,22664,42961
"TUBB6",2513,2457,2200,1743,507,5880,2269,6598,822,938,5594,1794,1022,1058,6546,4189,1657,2078,694,562,894,624,1333,1650,925,1418,441,2876,1514,5525,2451,4921,1093,980,5062,2025,812,459,82,1180,1570,1373,2048,2263,1170,399,336,866,889,795,729,9588,520,1110,3620
